event,guests,package,location,services_count,selected_services,rule_total,total_budget
birthday_private_party,93,simple,tier2,4,balloon_decor|cake|dj|games_anchor,43000,48500
birthday_private_party,81,basic,metro,5,balloon_decor|cake|dj|snacks|venue,116550,125500
birthday_private_party,20,simple,premium,5,balloon_decor|cake|dj|photo|theme_decor,85200,86500
birthday_private_party,20,luxury,premium,6,balloon_decor|cake|dj|games_anchor|theme_decor|venue,185640,203000
birthday_private_party,20,simple,tier2,5,cake|dj|games_anchor|theme_decor|venue,79000,80000
birthday_private_party,84,basic,tier2,7,cake|dj|games_anchor|return_gifts|snacks|theme_decor|venue,137600,146000
birthday_private_party,67,simple,metro,4,balloon_decor|cake|snacks|theme_decor,59080,61500
birthday_private_party,95,basic,metro,5,balloon_decor|cake|dj|games_anchor|theme_decor,85400,85000
birthday_private_party,99,basic,tier2,6,balloon_decor|cake|dj|games_anchor|snacks|theme_decor,107188,100500
birthday_private_party,52,luxury,tier2,4,cake|dj|games_anchor|venue,103700,110000
birthday_private_party,66,basic,tier2,5,balloon_decor|cake|return_gifts|theme_decor|venue,92400,98000
birthday_private_party,145,simple,tier2,5,cake|dj|photo|snacks|venue,107250,104500
birthday_private_party,56,basic,tier2,5,balloon_decor|cake|return_gifts|snacks|venue,85900,96000
birthday_private_party,127,basic,tier2,4,cake|games_anchor|photo|venue,82500,83500
birthday_private_party,89,simple,tier2,6,balloon_decor|cake|dj|photo|snacks|theme_decor,93250,84500
birthday_private_party,55,basic,rural,5,cake|dj|photo|theme_decor|venue,103462,92500
birthday_private_party,97,basic,tier2,7,balloon_decor|cake|games_anchor|return_gifts|snacks|theme_decor|venue,139862,154500
birthday_private_party,42,simple,tier2,7,cake|dj|games_anchor|photo|return_gifts|snacks|venue,96540,94500
birthday_private_party,58,basic,tier2,5,balloon_decor|cake|dj|return_gifts|venue,87450,93000
birthday_private_party,32,simple,tier2,4,balloon_decor|cake|return_gifts|snacks,29840,27000
birthday_private_party,20,simple,metro,7,balloon_decor|cake|games_anchor|photo|return_gifts|snacks|venue,95648,90500
birthday_private_party,52,basic,tier2,5,balloon_decor|cake|games_anchor|return_gifts|venue,80300,75500
birthday_private_party,20,basic,rural,4,cake|dj|games_anchor|return_gifts,38828,36000
birthday_private_party,112,simple,metro,5,cake|dj|games_anchor|photo|venue,90720,102500
birthday_private_party,93,simple,tier2,7,balloon_decor|cake|dj|games_anchor|photo|return_gifts|theme_decor,92160,92000
birthday_private_party,33,simple,metro,5,cake|dj|snacks|theme_decor|venue,86520,82500
birthday_private_party,20,basic,tier2,5,cake|dj|games_anchor|snacks|venue,82500,73000
birthday_private_party,156,basic,metro,8,balloon_decor|cake|dj|games_anchor|return_gifts|snacks|theme_decor|venue,208208,192500
birthday_private_party,47,basic,premium,4,balloon_decor|cake|photo|snacks,74625,81000
birthday_private_party,38,simple,tier2,7,cake|dj|games_anchor|photo|snacks|theme_decor|venue,108500,103000
birthday_private_party,194,luxury,tier2,7,balloon_decor|cake|dj|games_anchor|return_gifts|snacks|venue,246126,209000
birthday_private_party,41,simple,metro,6,balloon_decor|cake|dj|snacks|theme_decor|venue,102200,109000
birthday_private_party,50,basic,premium,6,balloon_decor|cake|games_anchor|return_gifts|theme_decor|venue,123000,113000
birthday_private_party,32,basic,tier2,5,cake|games_anchor|snacks|theme_decor|venue,90000,80000
birthday_private_party,20,simple,metro,5,cake|dj|games_anchor|return_gifts|venue,71008,74000
birthday_private_party,159,basic,metro,5,cake|games_anchor|photo|snacks|venue,148050,136500
birthday_private_party,125,simple,premium,4,cake|dj|snacks|theme_decor,84300,87000
birthday_private_party,89,simple,metro,7,balloon_decor|cake|games_anchor|photo|snacks|theme_decor|venue,132440,146500
birthday_private_party,20,simple,tier2,5,cake|dj|games_anchor|return_gifts|venue,63400,64000
birthday_private_party,20,basic,rural,6,balloon_decor|cake|photo|snacks|theme_decor|venue,105788,113000
birthday_private_party,105,luxury,rural,6,balloon_decor|cake|games_anchor|return_gifts|snacks|theme_decor,134148,116000
birthday_private_party,127,basic,tier2,5,balloon_decor|cake|dj|return_gifts|venue,97800,103000
birthday_private_party,78,simple,tier2,5,cake|photo|return_gifts|theme_decor|venue,83360,79500
birthday_private_party,20,luxury,tier2,5,cake|games_anchor|photo|snacks|theme_decor,100300,110500
birthday_private_party,99,basic,metro,6,cake|games_anchor|photo|return_gifts|theme_decor|venue,134232,138000
birthday_private_party,117,simple,metro,4,cake|photo|return_gifts|venue,78445,75000
birthday_private_party,147,simple,rural,7,balloon_decor|cake|dj|photo|return_gifts|theme_decor|venue,110335,102000
birthday_private_party,25,basic,metro,6,balloon_decor|cake|dj|photo|snacks|venue,124950,134000
birthday_private_party,129,simple,metro,7,cake|dj|games_anchor|photo|return_gifts|snacks|venue,144178,139500
birthday_private_party,20,simple,tier2,6,balloon_decor|cake|dj|games_anchor|return_gifts|venue,75400,70000
birthday_private_party,58,simple,metro,8,balloon_decor|cake|dj|games_anchor|photo|return_gifts|snacks|theme_decor,114755,125000
birthday_private_party,59,basic,tier2,5,cake|dj|photo|return_gifts|theme_decor,82600,78000
birthday_private_party,34,simple,metro,7,balloon_decor|cake|dj|games_anchor|return_gifts|snacks|venue,95850,93500
birthday_private_party,20,basic,tier2,4,cake|dj|snacks|theme_decor,55000,51500
birthday_private_party,79,simple,metro,5,cake|games_anchor|photo|return_gifts|venue,84538,94000
birthday_private_party,118,basic,metro,6,cake|dj|photo|return_gifts|snacks|venue,160524,150500
