event,guests,package,location,services_count,selected_services,rule_total,total_budget
corporate_event,189,basic,rural,8,av|branding|catering|hall|photo_video|security|staff|stage_setup,339648,344500
corporate_event,227,basic,tier2,5,av|catering|hall|photo_video|security,311438,282500
corporate_event,182,luxury,metro,6,av|branding|catering|hall|photo_video|stage_setup,498658,468000
corporate_event,100,simple,metro,7,av|branding|catering|hall|security|staff|stage_setup,240800,248000
corporate_event,30,basic,tier2,6,av|catering|hall|photo_video|security|staff,203625,226500
corporate_event,247,luxury,premium,6,av|catering|photo_video|registration|staff|stage_setup,475136,407500
corporate_event,197,luxury,premium,3,av|catering|photo_video,313446,268000
corporate_event,209,basic,tier2,4,av|catering|registration|stage_setup,207562,203500
corporate_event,141,simple,rural,6,av|catering|hall|photo_video|security|staff,206209,203500
corporate_event,190,luxury,premium,6,av|branding|catering|registration|staff|stage_setup,393108,392500
corporate_event,225,simple,metro,6,av|branding|catering|photo_video|staff|stage_setup,256760,251000
corporate_event,323,basic,tier2,4,av|catering|registration|security,255438,278000
corporate_event,472,basic,tier2,4,av|branding|catering|photo_video,371750,335500
corporate_event,190,luxury,metro,4,av|catering|hall|security,385560,348000
corporate_event,112,luxury,tier2,5,av|catering|hall|photo_video|registration,335580,362000
corporate_event,43,basic,tier2,5,av|branding|catering|registration|security,122938,117000
corporate_event,98,luxury,tier2,6,av|branding|catering|hall|registration|stage_setup,350370,355500
corporate_event,179,simple,metro,5,av|catering|hall|registration|security,234696,247000
corporate_event,188,basic,metro,5,av|branding|catering|photo_video|stage_setup,272440,272500
corporate_event,61,basic,metro,8,av|branding|catering|hall|photo_video|security|staff|stage_setup,314062,356000
corporate_event,30,basic,rural,5,av|catering|photo_video|registration|security,119156,129000
corporate_event,136,basic,tier2,6,av|branding|catering|security|staff|stage_setup,205100,222000
corporate_event,311,simple,rural,5,av|catering|hall|photo_video|staff,278842,307500
corporate_event,306,basic,metro,6,av|catering|photo_video|registration|security|stage_setup,352380,381000
corporate_event,192,luxury,tier2,5,av|catering|hall|photo_video|stage_setup,418880,407500
corporate_event,80,basic,tier2,4,av|catering|hall|staff,184250,189000
corporate_event,266,simple,metro,4,av|branding|catering|photo_video,229264,213500
corporate_event,100,basic,metro,5,av|catering|hall|photo_video|registration,268800,280000
corporate_event,144,basic,tier2,6,av|branding|catering|photo_video|security|staff,216650,192500
corporate_event,348,luxury,tier2,5,av|branding|catering|hall|security,499120,523500
corporate_event,296,luxury,metro,7,av|branding|catering|photo_video|registration|security|staff,506236,532500
corporate_event,135,simple,metro,5,av|catering|hall|photo_video|stage_setup,247240,244000
corporate_event,30,basic,tier2,5,av|branding|catering|photo_video|security,138125,128500
corporate_event,123,basic,premium,6,av|catering|photo_video|security|staff|stage_setup,250785,224500
corporate_event,30,luxury,rural,4,av|catering|photo_video|stage_setup,163634,174000
corporate_event,372,luxury,tier2,4,av|catering|hall|registration,483480,521500
corporate_event,373,simple,tier2,8,av|branding|catering|hall|registration|security|staff|stage_setup,371690,401500
corporate_event,228,simple,metro,3,av|catering|photo_video,187712,180500
corporate_event,292,basic,rural,3,av|branding|catering,216690,212500
corporate_event,331,simple,tier2,7,av|branding|catering|hall|photo_video|registration|staff,342430,364000
corporate_event,79,simple,rural,6,av|branding|catering|hall|security|stage_setup,183722,190000
corporate_event,294,basic,tier2,5,av|branding|catering|photo_video|stage_setup,302875,299000
corporate_event,175,basic,tier2,5,av|branding|catering|registration|stage_setup,213438,223000
corporate_event,149,simple,metro,5,av|catering|hall|security|stage_setup,234136,216500
corporate_event,297,basic,rural,5,av|branding|catering|security|stage_setup,262318,272500
corporate_event,351,basic,tier2,4,av|catering|hall|security,343688,315500
corporate_event,75,simple,premium,6,av|catering|hall|security|staff|stage_setup,218100,218000
corporate_event,214,simple,metro,4,av|catering|hall|photo_video,259056,242000
corporate_event,93,basic,tier2,4,av|branding|catering|staff,130362,130000
corporate_event,30,basic,metro,6,av|branding|catering|hall|photo_video|security,252700,254500
corporate_event,302,basic,premium,6,av|branding|catering|photo_video|registration|staff,385590,402000
corporate_event,305,simple,tier2,6,av|branding|catering|hall|staff|stage_setup,311650,321000
corporate_event,167,basic,metro,5,av|catering|hall|staff|stage_setup,305914,275000
corporate_event,356,simple,metro,5,av|catering|hall|registration|stage_setup,338464,340500
corporate_event,237,simple,metro,4,av|catering|staff|stage_setup,207883,224000
corporate_event,316,luxury,metro,5,av|branding|catering|photo_video|registration,455437,494000
corporate_event,309,basic,metro,7,av|branding|catering|hall|security|staff|stage_setup,456078,463500
corporate_event,163,luxury,tier2,4,av|branding|catering|stage_setup,260695,263000
corporate_event,137,basic,metro,8,av|branding|catering|hall|photo_video|registration|staff|stage_setup,370454,329000
corporate_event,169,basic,metro,6,av|branding|catering|hall|photo_video|security,340270,367000
corporate_event,123,luxury,metro,5,av|catering|photo_video|registration|security,274842,242000
corporate_event,30,luxury,tier2,5,av|branding|catering|hall|security,255850,281000
corporate_event,339,simple,premium,7,av|catering|hall|photo_video|registration|security|staff,406404,387500
corporate_event,242,luxury,tier2,5,av|catering|registration|staff|stage_setup,340442,320500
corporate_event,257,basic,metro,4,av|catering|photo_video|registration,269710,296000
corporate_event,255,basic,metro,8,av|branding|catering|hall|photo_video|security|staff|stage_setup,458010,440000
corporate_event,77,simple,premium,7,av|branding|catering|photo_video|registration|security|staff,179772,171000
corporate_event,315,basic,tier2,5,av|branding|catering|staff|stage_setup,308688,310500
corporate_event,30,basic,metro,6,av|branding|catering|hall|photo_video|registration,252700,255000
corporate_event,190,basic,metro,7,av|branding|catering|photo_video|registration|staff|stage_setup,311780,343000
corporate_event,200,simple,metro,3,av|catering|staff,157920,162500
corporate_event,298,simple,tier2,3,av|catering|registration,181100,179000
corporate_event,152,basic,metro,4,av|catering|photo_video|stage_setup,221760,209500
corporate_event,83,basic,tier2,6,av|branding|catering|hall|photo_video|security,255438,283000
corporate_event,30,basic,metro,5,av|catering|hall|photo_video|security,224700,251000
corporate_event,201,basic,rural,5,av|branding|catering|security|staff,201729,218000
corporate_event,322,basic,rural,5,av|catering|hall|photo_video|security,339334,320000
corporate_event,30,luxury,rural,7,av|catering|hall|photo_video|registration|security|stage_setup,312248,348000
corporate_event,186,simple,tier2,7,av|catering|hall|photo_video|security|staff|stage_setup,270580,289000
corporate_event,157,basic,metro,6,av|catering|photo_video|security|staff|stage_setup,259294,269500
corporate_event,296,basic,metro,6,av|catering|photo_video|security|staff|stage_setup,362432,363500
corporate_event,204,simple,metro,3,av|catering|stage_setup,170016,176000
corporate_event,334,simple,premium,4,av|catering|hall|security,320760,330500
corporate_event,400,basic,premium,5,av|catering|hall|security|staff,493500,520000
corporate_event,418,basic,tier2,5,av|branding|catering|security|stage_setup,350125,324500
corporate_event,190,basic,metro,8,av|branding|catering|hall|photo_video|registration|staff|stage_setup,409780,414500
corporate_event,129,basic,rural,5,av|branding|catering|security|staff,157368,148000
corporate_event,243,basic,rural,4,av|catering|registration|staff,204356,222500
corporate_event,245,basic,metro,4,av|catering|hall|registration,318150,297000
corporate_event,371,simple,tier2,8,av|branding|catering|hall|photo_video|registration|security|stage_setup,370950,353500
corporate_event,239,luxury,rural,5,av|catering|photo_video|staff|stage_setup,342555,383500
corporate_event,162,simple,tier2,4,av|catering|registration|staff,132860,121000
