event,guests,package,location,services_count,selected_services,rule_total,total_budget
engagement_reception,161,luxury,metro,6,catering|invites|lighting|music|photo_video|stage_decor,427543,468500
engagement_reception,194,basic,premium,7,catering|flowers|invites|makeup|music|return_gifts|stage_decor,366150,327000
engagement_reception,115,simple,premium,5,catering|makeup|photo_video|return_gifts|stage_decor,227700,208500
engagement_reception,374,basic,tier2,5,catering|invites|lighting|makeup|return_gifts,370125,352500
engagement_reception,129,basic,tier2,6,catering|flowers|invites|photo_video|return_gifts|stage_decor,254812,225500
engagement_reception,165,simple,metro,8,catering|flowers|lighting|makeup|music|photo_video|return_gifts|stage_decor,316120,296000
engagement_reception,331,basic,metro,7,catering|flowers|invites|lighting|makeup|photo_video|return_gifts,469210,421000
engagement_reception,170,basic,metro,5,catering|invites|lighting|photo_video|stage_decor,296100,266000
engagement_reception,50,basic,tier2,3,catering|flowers|makeup,93125,101500
engagement_reception,162,basic,tier2,7,catering|flowers|invites|makeup|music|return_gifts|stage_decor,279125,266500
engagement_reception,50,luxury,tier2,7,catering|flowers|invites|lighting|music|photo_video|stage_decor,315350,330000
engagement_reception,275,simple,metro,5,catering|flowers|music|return_gifts|stage_decor,295400,317500
engagement_reception,360,basic,tier2,4,catering|makeup|photo_video|stage_decor,391250,441500
engagement_reception,194,luxury,metro,8,catering|flowers|invites|lighting|makeup|photo_video|return_gifts|stage_decor,554254,618500
engagement_reception,287,basic,metro,6,catering|invites|lighting|photo_video|return_gifts|stage_decor,426370,400000
engagement_reception,233,basic,tier2,7,catering|invites|lighting|music|photo_video|return_gifts|stage_decor,359312,321500
engagement_reception,234,luxury,metro,7,catering|flowers|lighting|makeup|music|photo_video|stage_decor,578245,642500
engagement_reception,248,simple,tier2,3,catering|flowers|stage_decor,203400,202000
engagement_reception,78,simple,premium,7,catering|flowers|lighting|makeup|music|return_gifts|stage_decor,216840,195500
engagement_reception,170,simple,tier2,9,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,293500,290500
engagement_reception,134,basic,metro,6,catering|flowers|invites|lighting|music|photo_video,261380,304000
engagement_reception,139,basic,metro,9,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,382690,372500
engagement_reception,169,luxury,tier2,8,catering|flowers|lighting|makeup|music|photo_video|return_gifts|stage_decor,484245,521000
engagement_reception,167,basic,metro,5,catering|invites|makeup|photo_video|stage_decor,300790,336000
engagement_reception,71,basic,tier2,8,catering|flowers|invites|lighting|makeup|music|return_gifts|stage_decor,230188,216500
engagement_reception,276,simple,rural,5,catering|invites|lighting|music|stage_decor,225804,246500
engagement_reception,239,basic,metro,6,catering|flowers|invites|makeup|music|photo_video,349230,352500
engagement_reception,222,simple,tier2,5,catering|invites|lighting|makeup|return_gifts,197300,194000
engagement_reception,311,basic,tier2,7,catering|flowers|invites|lighting|makeup|photo_video|return_gifts,402688,444500
engagement_reception,249,simple,tier2,7,catering|flowers|invites|lighting|makeup|music|photo_video,274950,268000
engagement_reception,309,basic,metro,5,catering|invites|lighting|return_gifts|stage_decor,383390,378000
engagement_reception,222,basic,metro,4,catering|makeup|photo_video|return_gifts,300020,328500
engagement_reception,50,simple,metro,5,catering|makeup|music|return_gifts|stage_decor,134960,142500
engagement_reception,109,simple,metro,6,catering|invites|lighting|makeup|music|stage_decor,197064,214500
engagement_reception,212,simple,metro,5,catering|flowers|invites|music|stage_decor,234752,264500
engagement_reception,118,basic,metro,6,catering|flowers|makeup|music|photo_video|stage_decor,307860,356000
engagement_reception,97,simple,tier2,6,catering|flowers|invites|lighting|music|return_gifts,131050,127500
engagement_reception,146,luxury,metro,7,catering|flowers|invites|makeup|music|photo_video|stage_decor,463243,410000
engagement_reception,119,simple,metro,5,catering|lighting|photo_video|return_gifts|stage_decor,209832,199000
engagement_reception,235,basic,rural,5,catering|flowers|lighting|return_gifts|stage_decor,278709,294500
engagement_reception,80,basic,premium,7,catering|flowers|invites|lighting|makeup|photo_video|return_gifts,258000,282500
engagement_reception,215,luxury,tier2,7,catering|invites|lighting|music|photo_video|return_gifts|stage_decor,468775,423000
engagement_reception,50,basic,metro,7,catering|flowers|invites|lighting|photo_video|return_gifts|stage_decor,241500,266000
engagement_reception,306,basic,rural,6,catering|invites|makeup|music|photo_video|return_gifts,342821,357500
engagement_reception,324,basic,tier2,7,catering|lighting|makeup|music|photo_video|return_gifts|stage_decor,454500,482500
engagement_reception,149,simple,tier2,4,catering|flowers|music|stage_decor,166950,160500
engagement_reception,198,basic,tier2,7,catering|flowers|invites|lighting|makeup|music|photo_video,308625,294000
engagement_reception,251,basic,metro,6,catering|makeup|music|photo_video|return_gifts|stage_decor,414610,404500
engagement_reception,314,simple,metro,7,catering|flowers|lighting|music|photo_video|return_gifts|stage_decor,396592,412000
engagement_reception,277,basic,tier2,8,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts,397562,387500
engagement_reception,151,basic,rural,5,catering|invites|photo_video|return_gifts|stage_decor,228024,231000
engagement_reception,62,basic,metro,5,catering|flowers|invites|lighting|photo_video,180740,178000
engagement_reception,362,basic,metro,6,catering|invites|makeup|music|photo_video|return_gifts,463820,481500
engagement_reception,183,basic,premium,8,catering|flowers|invites|makeup|music|photo_video|return_gifts|stage_decor,422925,407500
engagement_reception,289,simple,tier2,6,catering|flowers|makeup|music|photo_video|return_gifts,297850,279500
engagement_reception,101,simple,tier2,7,catering|flowers|invites|lighting|music|photo_video|stage_decor,213550,223000
engagement_reception,271,basic,metro,3,catering|makeup|return_gifts,281610,284500
engagement_reception,325,basic,tier2,8,catering|flowers|invites|lighting|makeup|photo_video|return_gifts|stage_decor,470312,489000
engagement_reception,222,luxury,premium,9,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,667692,626000
engagement_reception,220,simple,tier2,5,catering|invites|lighting|photo_video|return_gifts,216000,235000
engagement_reception,355,basic,tier2,8,catering|flowers|invites|lighting|makeup|music|photo_video|stage_decor,472812,417000
engagement_reception,301,luxury,premium,8,catering|flowers|invites|lighting|makeup|music|return_gifts|stage_decor,680646,760000
engagement_reception,181,simple,tier2,8,catering|flowers|lighting|makeup|music|photo_video|return_gifts|stage_decor,292650,280000
engagement_reception,107,luxury,tier2,8,catering|flowers|invites|lighting|makeup|music|photo_video|stage_decor,411145,358500
engagement_reception,50,simple,metro,5,catering|flowers|music|return_gifts|stage_decor,131600,129500
engagement_reception,107,simple,tier2,6,catering|lighting|makeup|music|return_gifts|stage_decor,177550,194500
engagement_reception,121,basic,tier2,5,catering|lighting|makeup|photo_video|return_gifts,210812,202000
engagement_reception,81,simple,metro,5,catering|flowers|invites|photo_video|return_gifts,142968,138500
engagement_reception,160,simple,metro,6,catering|invites|lighting|makeup|photo_video|stage_decor,258720,255000
engagement_reception,204,luxury,tier2,8,catering|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,499120,565500
engagement_reception,370,basic,metro,6,catering|lighting|makeup|photo_video|return_gifts|stage_decor,525700,562500
engagement_reception,187,simple,tier2,7,catering|flowers|invites|lighting|makeup|photo_video|stage_decor,267850,271500
engagement_reception,88,basic,tier2,6,catering|flowers|invites|makeup|music|stage_decor,208000,228500
engagement_reception,164,simple,tier2,6,catering|invites|lighting|makeup|music|stage_decor,206200,223000
engagement_reception,208,luxury,metro,6,catering|flowers|invites|makeup|music|return_gifts,396413,419000
engagement_reception,106,basic,tier2,6,catering|flowers|invites|lighting|return_gifts|stage_decor,204875,215500
engagement_reception,50,luxury,metro,6,catering|flowers|lighting|photo_video|return_gifts|stage_decor,313208,295000
engagement_reception,417,basic,tier2,7,catering|flowers|invites|lighting|music|return_gifts|stage_decor,480062,515000
engagement_reception,198,simple,metro,7,catering|invites|lighting|makeup|music|return_gifts|stage_decor,274064,266500
engagement_reception,201,simple,tier2,5,catering|flowers|lighting|music|stage_decor,215550,196500
engagement_reception,190,simple,tier2,5,catering|flowers|invites|photo_video|stage_decor,224500,211500
engagement_reception,133,basic,tier2,5,catering|music|photo_video|return_gifts|stage_decor,243062,257500
engagement_reception,197,basic,premium,7,catering|flowers|invites|lighting|makeup|return_gifts|stage_decor,372075,346500
engagement_reception,77,basic,metro,8,catering|flowers|lighting|makeup|music|photo_video|return_gifts|stage_decor,315070,331000
engagement_reception,287,simple,tier2,8,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts,324550,350500
engagement_reception,258,luxury,tier2,7,catering|lighting|makeup|music|photo_video|return_gifts|stage_decor,545190,553500
engagement_reception,219,basic,metro,6,catering|invites|lighting|makeup|photo_video|return_gifts,336490,337000
engagement_reception,72,simple,tier2,9,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,229800,248000
engagement_reception,217,simple,metro,8,catering|flowers|invites|lighting|makeup|music|photo_video|stage_decor,338632,361500
engagement_reception,165,basic,premium,7,catering|flowers|invites|lighting|makeup|return_gifts|stage_decor,340875,301000
engagement_reception,155,simple,metro,6,catering|flowers|lighting|makeup|music|return_gifts,208040,195500
engagement_reception,397,simple,metro,6,catering|flowers|lighting|music|photo_video|stage_decor,412552,413500
engagement_reception,304,basic,tier2,8,catering|flowers|invites|makeup|music|photo_video|return_gifts|stage_decor,450750,417500
engagement_reception,369,simple,tier2,7,catering|flowers|invites|makeup|music|return_gifts|stage_decor,357850,377000
engagement_reception,254,basic,rural,5,catering|invites|lighting|music|photo_video,268189,292000
engagement_reception,176,simple,rural,7,catering|invites|lighting|makeup|music|photo_video|return_gifts,214272,217000
engagement_reception,50,basic,tier2,6,catering|flowers|invites|lighting|music|photo_video,175625,177000
engagement_reception,50,basic,metro,6,catering|flowers|lighting|makeup|music|return_gifts,164500,154500
engagement_reception,111,luxury,tier2,8,catering|flowers|invites|makeup|music|photo_video|return_gifts|stage_decor,399755,436000
engagement_reception,362,luxury,tier2,6,catering|flowers|invites|lighting|makeup|music,496570,493000
engagement_reception,184,basic,tier2,6,catering|flowers|invites|lighting|music|stage_decor,267750,236000
engagement_reception,116,simple,premium,6,catering|flowers|lighting|music|photo_video|return_gifts,216480,208000
engagement_reception,98,luxury,tier2,7,catering|flowers|invites|lighting|photo_video|return_gifts|stage_decor,346290,354000
engagement_reception,268,simple,tier2,7,catering|invites|lighting|makeup|music|return_gifts|stage_decor,290200,318500
engagement_reception,165,basic,metro,7,catering|flowers|invites|makeup|music|photo_video|return_gifts,315350,299000
engagement_reception,143,basic,tier2,6,catering|flowers|invites|lighting|music|stage_decor,239562,241000
engagement_reception,161,basic,metro,5,catering|flowers|lighting|makeup|music,242970,240500
engagement_reception,210,basic,tier2,4,catering|flowers|makeup|photo_video,259375,243500
engagement_reception,50,basic,tier2,7,catering|flowers|makeup|music|photo_video|return_gifts|stage_decor,234375,251000
engagement_reception,50,simple,metro,5,catering|invites|lighting|photo_video|stage_decor,162960,157500
engagement_reception,379,luxury,tier2,7,catering|flowers|invites|lighting|music|photo_video|return_gifts,610895,529500
engagement_reception,193,luxury,metro,8,catering|flowers|invites|lighting|makeup|music|return_gifts|stage_decor,501609,595500
engagement_reception,417,basic,metro,6,catering|flowers|invites|lighting|makeup|photo_video,489090,551000
engagement_reception,241,simple,metro,9,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,380408,384500
engagement_reception,255,basic,metro,9,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,488250,542000
engagement_reception,206,luxury,tier2,9,catering|flowers|invites|lighting|makeup|music|photo_video|return_gifts|stage_decor,538730,463500
engagement_reception,133,basic,tier2,6,catering|invites|makeup|photo_video|return_gifts|stage_decor,261812,255500
engagement_reception,55,basic,rural,7,catering|flowers|invites|lighting|makeup|photo_video|stage_decor,226978,245000
engagement_reception,124,basic,premium,7,catering|flowers|invites|lighting|music|photo_video|stage_decor,339300,345000
